TBX3	GATA5	ZNF394	CDH17	XRCC2	CD93	OSR2	CREB5	CD19	RAD51
0.60468	0.12317	0.32879	0.60478	0.14649	0.32588	0.49673	0.64963	0.61408	0.74818
0	0.37268	0.26433	0.36237	0.80434	0.37517	0.83008	0.77452	0.62115	0.7197
0.73311	0	0.37716	0.60029	0.15102	0.33968	0.52083	0.67872	0.73501	0.79226
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
