Genename	Up	targetlog2	TFlog2	Down	targetlog2	TFlog2	Predict	Label
APP	Up	-0.274988699	0.295501243	Down	0.456828443	0.296051142	1	1
APP	Up	-0.616930348	-0.199753404	Down	0.292345019	-0.141000051	1	1
CCL7	Up	-0.589802778	0.295501243	Down	0.790076931	0.296051142	1	1
CCL7	Up	-4.994136081	-0.199753404	Down	7.374190266	-0.141000051	1	1
CX3CR1	Up	-0.021629006	0.295501243	Down	0.084246865	0.296051142	1	1
CX3CR1	Up	-2.095064365	-0.199753404	Down	-1.921535127	-0.141000051	0	1
CXCL2	Up	-0.712483526	0.295501243	Down	0.932694351	0.296051142	1	1
CXCL2	Up	-0.51225579	-0.199753404	Down	4.660168648	-0.141000051	1	1
CYCS	Up	0.230590639	0.295501243	Down	-0.328646076	0.296051142	1	1
CYCS	Up	0.646699874	-0.199753404	Down	-0.42600516	-0.141000051	1	1
EGFR	Up	-0.011110818	0.295501243	Down	-0.314418697	0.296051142	1	1
EGFR	Up	0.340714809	-0.199753404	Down	-0.243652056	-0.141000051	1	1
FYB	Up	-0.204395833	0.295501243	Down	0.718636852	0.296051142	1	1
FYB	Up	-1.175683834	-0.199753404	Down	0.000315735	-0.141000051	1	1
IER3	Up	-0.178452613	0.295501243	Down	0.617726153	0.296051142	1	1
IER3	Up	-1.444146324	-0.199753404	Down	2.734058802	-0.141000051	1	1
IFI30	Up	0.242330656	0.295501243	Down	-0.564708121	0.296051142	1	1
IFI30	Up	0.86124919	-0.199753404	Down	0.04438401	-0.141000051	1	1
IL10RA	Up	-0.232962775	0.295501243	Down	0.586772257	0.296051142	1	1
IL10RA	Up	-1.677909268	-0.199753404	Down	1.472031477	-0.141000051	1	1
IL1RN	Up	-0.218835058	0.295501243	Down	0.560570502	0.296051142	1	1
IL1RN	Up	1.355283953	-0.199753404	Down	1.844031007	-0.141000051	1	1
IRF8	Up	-0.510163023	0.295501243	Down	0.6041301	0.296051142	1	1
IRF8	Up	-2.946808057	-0.199753404	Down	2.462423646	-0.141000051	1	1
ITGAE	Up	0.110837063	0.295501243	Down	-0.300704824	0.296051142	1	1
ITGAE	Up	0.075366499	-0.199753404	Down	0.460131986	-0.141000051	1	1
ITGAM	Up	0.018954997	0.295501243	Down	0.42625234	0.296051142	1	1
