Genename	Up	targetlog2	TFlog2	Down	targetlog2	TFlog2	Predict	Label	
IRF1	Up	0.295501243	0.295501243	Down	0.296051142	0.296051142	0	0	0
IRF1	Up	-0.199753404	-0.199753404	Down	-0.141000051	-0.141000051	0	0	0
RELB	Up	0.348980049	0.295501243	Down	-0.162078757	0.296051142	0	0	0
RELB	Up	1.712864136	-0.199753404	Down	-0.739637246	-0.141000051	0	0	0
GBP2	Up	-0.001274566	0.295501243	Down	-0.015178852	0.296051142	0	0	0
GBP2	Up	0.471577085	-0.199753404	Down	0.167699942	-0.141000051	0	0	0
DAXX	Up	-0.075639378	0.295501243	Down	0.033160348	0.296051142	0	0	0
DAXX	Up	0.069665496	-0.199753404	Down	0.093794989	-0.141000051	0	0	0
PPARG	Up	-0.776219757	0.295501243	Down	0.319650662	0.296051142	0	0	0
PPARG	Up	-0.053301015	-0.199753404	Down	-0.454532487	-0.141000051	0	0	0
IL18R1	Up	-0.539884497	0.295501243	Down	0.012729745	0.296051142	0	0	0
IL18R1	Up	0.02933556	-0.199753404	Down	-0.00308086	-0.141000051	0	0	0
IRF4	Up	0.245844585	0.295501243	Down	0.141920886	0.296051142	0	0	0
IRF4	Up	-0.501661196	-0.199753404	Down	1.027271517	-0.141000051	0	0	0
TICAM2	Up	-0.401718618	0.295501243	Down	0.299782053	0.296051142	0	0	0
TICAM2	Up	-0.832000282	-0.199753404	Down	0.816683245	-0.141000051	0	0	0
E2F1	Up	-0.154111519	0.295501243	Down	0.40620872	0.296051142	0	0	0
E2F1	Up	0.075829739	-0.199753404	Down	-0.201683652	-0.141000051	0	0	0
CASP8	Up	-0.00207893	0.295501243	Down	0.003590792	0.296051142	0	0	0
CASP8	Up	-0.039363479	-0.199753404	Down	0.192903944	-0.141000051	0	0	0
TAB2	Up	0.044052518	0.295501243	Down	-0.124651421	0.296051142	0	0	0
TAB2	Up	0.252088355	-0.199753404	Down	-0.51253102	-0.141000051	0	0	0
LGALS4	Up	0.356436578	0.295501243	Down	0.006585154	0.296051142	0	0	0
LGALS4	Up	0.136060078	-0.199753404	Down	0.271923058	-0.141000051	0	0	0
CTCF	Up	0.151115622	0.295501243	Down	0.217351076	0.296051142	0	0	0
CTCF	Up	0.274024267	-0.199753404	Down	-0.452237282	-0.141000051	0	0	0
SMAD3	Up	0.063681961	0.295501243	Down	-0.033022069	0.296051142	0	0	0
SMAD3	Up	-0.578041063	-0.199753404	Down	-0.472911683	-0.141000051	0	0	0
MAP2K7	Up	0.047210888	0.295501243	Down	-0.076296438	0.296051142	0	0	0
MAP2K7	Up	0.24562563	-0.199753404	Down	-0.368194861	-0.141000051	0	0	0
AKT1	Up	-0.076787342	0.295501243	Down	-0.08991724	0.296051142	0	0	0
AKT1	Up	0.3175584	-0.199753404	Down	-0.293355014	-0.141000051	0	0	0
IL1A	Up	0.396121426	0.295501243	Down	0.122152009	0.296051142	0	0	0
IL1A	Up	0.065616619	-0.199753404	Down	2.791790233	-0.141000051	0	0	0
